date,rh,avt,mxt,mnt
2020-12-11,80.0,28.1,30.4,26.0
2020-12-12,78.0,27.7,32.2,25.4
2020-12-13,83.0,27.0,30.2,25.6
2020-12-14,76.0,28.0,32.2,25.0
2020-12-15,78.0,27.7,32.6,25.8
2020-12-16,76.0,28.1,32.2,25.4
2020-12-17,79.0,27.5,31.8,24.8
2020-12-18,74.0,28.3,31.8,25.0
2020-12-19,74.0,28.2,32.8,25.4
2020-12-20,81.0,27.2,30.8,25.8
2020-12-21,76.0,27.4,29.6,24.8
2020-12-22,73.0,28.6,31.6,25.6
2020-12-23,70.2202595049807,28.064469025378607,32.53663660242725,25.506931575714702
2020-12-24,68.0,28.9,33.4,26.4
2020-12-25,67.0,29.3,34.2,25.8
2020-12-26,70.0,28.9,34.4,25.482365039515457
2020-12-27,70.0,29.4,32.4,25.6
2020-12-28,70.0,29.1,33.0,26.4
2020-12-29,73.0,28.3,32.0,26.4
2020-12-30,75.0,28.0,32.6,25.6
2020-12-31,83.0,26.5,30.2,25.6
2021-01-01,80.0,27.0,30.0,25.0
2021-01-02,78.0,27.6,31.2,25.0
2021-01-03,77.0,27.9,32.4,25.0
2021-01-04,75.0,28.8,32.6,25.6
2021-01-05,76.0,28.4,29.6,26.2
2021-01-06,85.0,27.2,30.6,24.0
2021-01-07,84.0,26.8,29.8,24.0
2021-01-08,85.0,27.1,30.2,25.0
2021-01-09,87.0,26.4,32.0,25.6
2021-01-10,82.0,27.1,31.0,24.6
2021-01-11,78.0,27.8,30.8,24.6
2021-01-12,82.0,27.3,30.0,25.0
2021-01-13,83.0,27.2,29.0,25.6
2021-01-14,81.0,27.4,29.4,26.0
2021-01-15,79.0,27.9,29.8,25.0
2021-01-16,70.0,29.2,34.2,25.6
2021-01-17,82.0,27.9,30.4,25.6
